dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,AlbertForMaskedLM,4,1.5637,196.1976,36.7633,1.2637
cuda,AlbertForQuestionAnswering,4,1.5697,193.9925,22.3314,1.3133
cuda,BartForCausalLM,4,1.4704,88.2529,36.2264,0.9750
cuda,BertForMaskedLM,16,1.5146,83.3326,42.1532,1.0497
cuda,BertForQuestionAnswering,16,1.6353,65.9640,30.3219,1.1693
cuda,BlenderbotSmallForCausalLM,64,1.1694,62.6029,28.2282,0.9127
cuda,BlenderbotSmallForConditionalGeneration,64,1.3153,116.4360,51.6582,0.9804
cuda,CamemBert,16,1.4672,93.1047,33.8399,1.0462
cuda,DebertaForMaskedLM,4,0.8610,94.2568,41.9968,1.0406
cuda,DebertaForQuestionAnswering,8,0.9550,94.5806,42.3991,1.1506
cuda,DebertaV2ForMaskedLM,1,0.7829,214.8802,64.2595,0.9772
cuda,DistilBertForMaskedLM,128,1.2346,80.7496,30.1995,0.9625
cuda,DistilBertForQuestionAnswering,256,1.3784,86.2125,32.3333,1.1469
cuda,DistillGPT2,16,1.6558,72.8982,21.3507,1.0639
cuda,ElectraForCausalLM,32,1.5242,67.9513,57.7771,0.9719
cuda,ElectraForQuestionAnswering,64,1.9230,67.2341,45.5223,1.1624
cuda,GPT2ForSequenceClassification,4,2.0511,53.7014,31.2262,1.2305
cuda,LayoutLMForMaskedLM,16,1.5055,84.8592,40.6248,1.0491
cuda,LayoutLMForSequenceClassification,16,1.6464,66.9082,35.1418,1.1401
cuda,MBartForCausalLM,4,1.4704,88.7321,29.1925,0.9831
cuda,MegatronBertForCausalLM,4,1.1061,136.3322,79.4501,1.0946
cuda,MegatronBertForQuestionAnswering,8,1.2551,133.9124,75.9488,1.1147
cuda,MobileBertForMaskedLM,64,0.9569,333.3552,130.7601,1.0135
cuda,MobileBertForQuestionAnswering,128,0.9634,331.8111,126.0109,0.8400
cuda,PLBartForCausalLM,8,1.5155,83.1783,24.3849,0.9886
cuda,PLBartForConditionalGeneration,4,1.4414,93.6038,52.3630,1.0496
cuda,PegasusForCausalLM,32,1.1225,79.1829,36.5687,0.9737
cuda,PegasusForConditionalGeneration,32,1.1506,175.4371,59.1006,1.0686
cuda,RobertaForCausalLM,16,1.5780,83.6565,33.7543,1.0491
cuda,RobertaForQuestionAnswering,16,1.6336,66.3454,29.9597,1.1698
cuda,Speech2Text2ForCausalLM,256,1.5464,41.4059,25.6908,0.8768
cuda,T5ForConditionalGeneration,4,1.2736,96.9787,54.8479,1.1802
cuda,T5Small,4,1.2861,98.4766,32.1507,1.1802
cuda,TrOCRForCausalLM,32,1.2573,127.5731,36.5153,0.9584
cuda,XLNetLMHeadModel,8,1.6924,177.0149,83.7423,1.1026
cuda,YituTechConvBert,16,1.4142,107.2519,68.8073,1.0363
