dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,AlbertForMaskedLM,4,1.6278,167.1051,21.2966,1.2637
cuda,AlbertForQuestionAnswering,4,1.6331,165.1444,23.4822,1.3133
cuda,BartForCausalLM,4,1.4315,81.1728,39.5848,0.9750
cuda,BertForMaskedLM,16,1.5882,71.7735,44.1958,1.0497
cuda,BertForQuestionAnswering,16,1.4966,65.0603,31.3709,1.1693
cuda,BlenderbotSmallForCausalLM,64,1.1632,56.8029,33.2588,0.9127
cuda,BlenderbotSmallForConditionalGeneration,64,1.2358,119.0576,55.0123,0.9804
cuda,CamemBert,16,1.5161,79.8934,42.2821,1.0464
cuda,DebertaForMaskedLM,4,0.8698,91.4427,46.3664,1.0406
cuda,DebertaForQuestionAnswering,8,0.9049,93.3708,45.9385,1.1506
cuda,DebertaV2ForMaskedLM,1,0.7794,210.8354,67.7997,0.9772
cuda,DistilBertForMaskedLM,128,1.2509,69.4443,32.9298,0.9625
cuda,DistilBertForQuestionAnswering,256,1.4521,72.6730,33.3909,1.1469
cuda,DistillGPT2,16,1.7354,63.4442,22.6602,1.0639
cuda,ElectraForCausalLM,32,1.4293,66.6490,64.1584,0.9719
cuda,ElectraForQuestionAnswering,64,2.0133,66.8780,46.0313,1.1624
cuda,GPT2ForSequenceClassification,4,1.9966,51.7747,31.5333,1.2305
cuda,LayoutLMForMaskedLM,16,1.5639,73.5095,43.4755,1.0491
cuda,LayoutLMForSequenceClassification,16,1.5362,65.7452,35.5279,1.1401
cuda,MBartForCausalLM,4,1.4431,80.7726,32.8011,0.9831
cuda,MegatronBertForCausalLM,4,1.1222,132.0153,65.3284,1.0945
cuda,MegatronBertForQuestionAnswering,8,1.1598,133.9254,76.8020,1.1147
cuda,MobileBertForMaskedLM,64,0.9543,335.8008,137.2437,1.0135
cuda,MobileBertForQuestionAnswering,128,0.9529,320.5449,131.5441,0.8400
cuda,PLBartForCausalLM,8,1.6800,71.7332,26.4780,0.9886
cuda,PLBartForConditionalGeneration,4,1.3631,94.3009,53.6077,1.0496
cuda,PegasusForCausalLM,32,1.1081,72.5061,36.8417,0.9737
cuda,PegasusForConditionalGeneration,32,1.1431,169.7695,61.2013,1.0686
cuda,RobertaForCausalLM,16,1.6604,71.9090,34.6122,1.0491
cuda,RobertaForQuestionAnswering,16,1.4999,66.3180,30.6454,1.1698
cuda,Speech2Text2ForCausalLM,256,1.5202,39.0639,25.2990,0.8768
cuda,T5ForConditionalGeneration,4,2.2865,92.9299,57.4278,1.1802
cuda,T5Small,4,1.3154,91.7695,31.6945,1.1802
cuda,TrOCRForCausalLM,32,1.2837,110.8659,37.2409,0.9584
cuda,XLNetLMHeadModel,8,1.6188,167.8501,84.6264,1.1026
cuda,YituTechConvBert,16,1.3486,99.4077,75.8092,1.0363
