dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,BERT_pytorch,16,1.4456,65.6754,30.6460,1.3131
cuda,LearningToPaint,96,1.0256,11.7522,12.7291,0.9914
cuda,Super_SloMo,6,1.3023,63.3806,28.0633,1.2389
cuda,alexnet,128,1.1602,8.8194,6.1527,1.0017
cuda,attention_is_all_you_need_pytorch,256,1.1683,88.7412,31.8466,1.1751
cuda,dcgan,32,1.0029,2.8732,5.4151,1.0082
cuda,densenet121,4,0.8628,59.5967,68.9355,1.0003
cuda,drq,1,1.0408,4.7935,5.6278,0.9849
cuda,fastNLP_Bert,6,1.1915,73.6684,29.8857,1.2327
cuda,functorch_dp_cifar10,64,1.2838,9.3029,13.9696,1.0497
cuda,functorch_maml_omniglot,1,1.0297,3.0355,5.7796,1.0000
cuda,hf_Albert,8,1.3307,59.8231,21.4149,1.2657
cuda,hf_Bart,4,1.0993,90.4403,39.2717,1.0076
cuda,hf_Bert,4,1.1396,67.8653,29.6804,1.0640
cuda,hf_Bert_large,4,1.2085,129.1010,56.4749,1.0909
cuda,hf_DistilBert,8,1.6034,33.4223,16.3073,1.0245
cuda,hf_GPT2,4,1.2362,53.0150,25.9498,1.1538
cuda,hf_Longformer,0,0.0000
cuda,hf_Reformer,4,1.0772,78.9097,14.2123,0.9286
cuda,hf_T5_large,2,1.4198,319.2782,117.5321,1.1678
cuda,lennard_jones,1000,1.0384,3.7987,4.2372,1.0000
cuda,maml_omniglot,32,1.0009,3.2825,6.3398,1.0000
cuda,mnasnet1_0,32,0.9426,24.9342,26.8809,0.9988
cuda,mobilenet_v2,96,1.4721,34.6352,28.3818,1.1727
cuda,nvidia_deeprecommender,256,1.0248,10.1153,4.6309,0.9715
cuda,phlippe_densenet,128,0.9849,31.6851,29.4479,1.0058
cuda,phlippe_resnet,128,1.0125,12.9591,11.7507,1.0067
cuda,pytorch_CycleGAN_and_pix2pix,1,1.3959,9.2182,13.8119,1.0219
cuda,pytorch_stargan,16,1.2149,11.9676,11.7385,1.0868
cuda,pytorch_unet,1,1.3447,31.2391,15.5882,1.0100
cuda,resnet152,32,0.9178,71.1622,68.6351,0.9989
cuda,resnet18,16,0.9149,11.6121,13.3852,0.9973
cuda,resnet50,32,0.9986,27.9017,26.4034,1.0012
cuda,resnext50_32x4d,8,0.8844,25.2123,25.2457,1.0008
cuda,shufflenet_v2_x1_0,128,1.0851,29.2371,30.0446,1.0917
cuda,soft_actor_critic,256,0.9952,3.0430,4.5031,0.9998
cuda,speech_transformer,32,1.1571,91.5085,37.4135,1.0852
cuda,squeezenet1_1,32,1.1316,8.4375,9.3067,1.0771
cuda,timm_efficientdet,1,1.3243,90.6699,115.3090,1.2713
cuda,timm_efficientnet,32,1.0964,31.7598,34.6870,1.0943
cuda,timm_nfnet,128,1.4802,82.8717,35.7752,1.1045
cuda,timm_regnet,32,1.0829,53.5047,36.8803,1.0000
cuda,timm_resnest,32,1.4995,16.8168,18.7708,1.0878
cuda,timm_vision_transformer,32,1.0567,40.2033,20.3233,0.9967
cuda,timm_vision_transformer_large,0,0.0000
cuda,timm_vovnet,32,1.0894,24.9543,24.4002,1.0137
cuda,torchrec_dlrm,0,0.0000
cuda,tts_angular,64,0.8583,8.2964,4.1242,1.0015
cuda,vgg16,64,1.2660,53.8822,7.6962,0.9828
cuda,yolov3,16,1.2373,58.8672,41.3697,1.0573
