dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,AlbertForMaskedLM,4,1.5511,164.3373,26.8523,1.2647
cuda,AlbertForQuestionAnswering,4,1.5501,163.5580,25.7983,1.3145
cuda,BartForCausalLM,4,1.5080,71.7230,32.8907,0.9749
cuda,BertForMaskedLM,16,1.5350,67.9451,35.3286,1.0494
cuda,BertForQuestionAnswering,16,1.6735,53.2963,34.3754,1.1710
cuda,BlenderbotSmallForCausalLM,64,1.2106,46.6466,23.8058,0.9120
cuda,BlenderbotSmallForConditionalGeneration,64,1.3616,77.3013,55.3546,0.9803
cuda,CamemBert,16,1.4779,76.1809,35.3883,1.0469
cuda,DebertaForMaskedLM,4,0.8415,62.3395,35.9657,1.0418
cuda,DebertaForQuestionAnswering,8,1.0609,67.5151,35.7728,1.1528
cuda,DebertaV2ForMaskedLM,1,0.6026,134.6517,66.1783,0.9773
cuda,DistilBertForMaskedLM,128,1.2460,66.9382,18.3089,0.9624
cuda,DistilBertForQuestionAnswering,256,1.3997,72.4126,18.1956,1.1486
cuda,DistillGPT2,16,1.6656,60.5455,17.2280,1.0641
cuda,ElectraForCausalLM,32,1.8299,45.4841,37.0944,0.9717
cuda,ElectraForQuestionAnswering,64,2.0289,52.6890,35.9632,1.1928
cuda,GPT2ForSequenceClassification,4,2.2567,38.2969,30.0527,1.2323
cuda,LayoutLMForMaskedLM,16,1.5423,68.8018,36.5562,1.0495
cuda,LayoutLMForSequenceClassification,16,1.7058,53.9355,35.2225,1.1659
cuda,MBartForCausalLM,4,1.4945,71.4649,32.8653,0.9830
cuda,MegatronBertForCausalLM,4,1.4328,58.4404,70.6226,1.0951
cuda,MegatronBertForQuestionAnswering,8,1.5886,85.2533,69.1219,1.1152
cuda,MobileBertForMaskedLM,64,0.9007,131.7379,107.5275,1.0136
cuda,MobileBertForQuestionAnswering,128,0.8435,167.9066,106.7049,0.8579
cuda,PLBartForCausalLM,8,1.5261,68.9224,19.5826,0.9887
cuda,PLBartForConditionalGeneration,4,1.5298,71.2811,45.6902,1.0495
cuda,PegasusForCausalLM,32,1.2212,57.5436,33.3863,0.9736
cuda,PegasusForConditionalGeneration,32,1.2822,106.4678,69.8825,1.0689
cuda,RobertaForCausalLM,16,1.6128,67.5706,34.7355,1.0496
cuda,RobertaForQuestionAnswering,16,1.6800,53.6267,33.8527,1.1704
cuda,Speech2Text2ForCausalLM,256,1.8230,32.9145,18.7201,0.8760
cuda,T5ForConditionalGeneration,4,1.6592,59.5324,39.4406,1.1814
cuda,T5Small,4,1.6581,59.5930,37.0471,1.1814
cuda,TrOCRForCausalLM,32,1.2586,106.2633,32.5330,0.9583
cuda,XLNetLMHeadModel,8,1.8108,142.8795,84.8197,1.1240
cuda,YituTechConvBert,16,1.5207,81.4595,53.1565,1.0362
