dev,name,batch_size,speedup,abs_latency,compilation_latency,compression_ratio
cuda,BERT_pytorch,16,1.7111,24.2741,35.7065,1.3212
cuda,LearningToPaint,96,1.0513,10.7557,11.1879,0.9896
cuda,Super_SloMo,6,1.3267,60.4328,28.2097,1.2392
cuda,alexnet,128,1.1754,8.3246,5.3319,1.0003
cuda,attention_is_all_you_need_pytorch,256,1.3416,36.4401,39.5927,1.1774
cuda,dcgan,32,0.9151,2.6249,3.2964,1.0082
cuda,densenet121,4,0.9225,51.3747,68.5841,0.9930
cuda,doctr_det_predictor,0,0.0000
cuda,doctr_reco_predictor,0,0.0000
cuda,drq,1,0.9500,3.4884,4.8028,0.9687
cuda,fastNLP_Bert,6,1.4328,34.7753,35.4863,1.2368
cuda,functorch_dp_cifar10,64,1.2015,8.1625,12.9040,1.0609
cuda,functorch_maml_omniglot,1,0.9322,2.5844,3.8640,1.0000
cuda,hf_Albert,8,2.1228,30.3377,26.8282,1.2676
cuda,hf_Bart,4,1.2899,39.1935,47.2373,1.0080
cuda,hf_Bert,4,1.3262,26.1063,35.0281,1.0656
cuda,hf_Bert_large,4,1.4163,55.1021,67.2825,1.0915
cuda,hf_DistilBert,8,1.4051,21.7191,18.0399,1.0242
cuda,hf_GPT2,4,1.6661,26.9039,29.9473,1.1555
cuda,hf_Longformer,0,0.0000
cuda,hf_Reformer,4,1.1709,64.6979,15.7035,0.9267
cuda,hf_T5_large,2,1.7215,107.0798,148.8805,1.1684
cuda,lennard_jones,1000,0.8428,1.8488,3.0609,1.0001
cuda,maml_omniglot,32,0.9648,2.6869,3.9775,0.9999
cuda,mnasnet1_0,32,1.0469,21.6251,25.8232,0.9996
cuda,mobilenet_v2,96,1.5604,31.9572,27.0225,1.1734
cuda,nvidia_deeprecommender,256,1.0605,9.2080,4.1318,0.9711
cuda,phlippe_densenet,128,1.0237,27.5988,28.0400,1.0023
cuda,phlippe_resnet,128,1.0493,10.9751,10.2485,1.0092
cuda,pytorch_CycleGAN_and_pix2pix,1,1.3724,8.2225,11.9561,1.0219
cuda,pytorch_stargan,16,1.1835,11.9178,10.0507,1.0868
cuda,pytorch_unet,1,1.3787,29.7543,13.7711,1.0100
cuda,resnet152,32,0.9834,63.2446,67.7935,0.9991
cuda,resnet18,16,0.9451,9.4977,11.7663,0.9948
cuda,resnet50,32,1.0513,24.5141,24.6629,1.0021
cuda,resnext50_32x4d,8,0.9216,22.2460,24.3420,0.9984
cuda,shufflenet_v2_x1_0,128,1.1943,25.4520,28.8611,1.0951
cuda,soft_actor_critic,256,0.8691,1.9637,3.3716,0.9996
cuda,speech_transformer,32,1.2718,35.2922,46.9957,1.0897
cuda,squeezenet1_1,32,1.1302,8.4540,7.9625,1.0771
cuda,timm_efficientdet,1,1.3370,80.0377,120.1814,1.2713
cuda,timm_efficientnet,32,1.1874,27.6302,33.9059,1.0971
cuda,timm_nfnet,128,1.4525,77.3461,34.3270,1.1056
cuda,timm_regnet,32,1.0644,50.6953,35.7562,1.0000
cuda,timm_resnest,32,1.6200,14.7763,17.2245,1.0906
cuda,timm_vision_transformer,32,1.0800,19.4188,22.0255,0.9966
cuda,timm_vision_transformer_large,32,1.0081,393.1742,127.8083,0.9735
cuda,timm_vovnet,32,1.1472,22.4727,22.7328,1.0120
cuda,torchrec_dlrm,0,0.0000
cuda,tts_angular,64,0.8974,6.5057,2.5555,0.9973
cuda,vgg16,64,1.2909,50.7405,6.1510,0.9828
cuda,yolov3,16,1.2930,54.8069,41.9269,1.0563
