m,default_short_warmup,default_long_warmup,python_generated_short_warmup,python_generated_long_warmup,python_generated_with_type_short_warmup,python_generated_with_type_long_warmup,python_short_warmup,python_long_warmup
128,40.61387939453125,63.137384033203126,4.265983963012696,6.051993560791016,3.542204666137695,3.8160350799560545,14.097975158691407,24.697056579589844
256,40.33582458496094,62.78548583984375,4.227916717529297,6.16087989807129,3.5885665893554686,3.8557502746582033,13.756002807617188,24.189677429199218
384,40.42800598144531,62.96868286132813,4.2608798980712885,6.093471908569335,3.5788864135742187,3.8517887115478517,13.77624053955078,24.302566528320312
512,40.319558715820314,62.63114013671875,4.218121719360352,6.069235229492188,3.5364864349365237,3.8576126098632812,13.743682861328125,24.280221557617185
640,40.34354858398437,62.828546142578126,4.210825729370117,6.043830490112305,3.5340225219726564,3.7785503387451174,13.935618591308595,24.303897094726562
768,40.27259521484375,62.70989379882813,4.242265701293945,6.065497589111327,3.5292800903320316,3.849836730957031,13.805737304687499,24.286805725097658
896,40.40821533203125,63.01042480468751,4.191846466064454,6.110412979125976,3.5674304962158203,3.8795265197753905,13.795376586914061,24.30095062255859
1024,40.24483947753906,62.84979248046875,4.285379028320313,6.076883316040039,3.5235008239746093,3.8618785858154294,13.817843627929687,24.261372375488282
1152,40.29364929199219,62.60881958007812,4.243644714355469,6.028982543945313,3.540726470947266,3.8547393798828127,13.789152526855467,24.203875732421878
1280,40.27312316894531,62.62414550781251,4.172364807128906,6.022323226928711,3.52608642578125,3.786547088623047,13.714617919921874,24.344767761230468
1408,40.19969177246094,62.551519775390624,4.190035247802734,6.114352035522461,3.5422145843505857,3.8580223083496095,13.654296875,24.32489929199219
