m,default_short_warmup,default_long_warmup,default_short,default_long,python_short_warmup,python_long_warmup,python_short,python_long,cpp_short_warmup,cpp_long_warmup,cpp_short,cpp_long,noop,kernel
128,38.96957702636718,61.859362792968746,51.62005004882812,74.24324951171874,7.971186828613282,10.170368194580078,15.463183593750001,18.993714904785154,7.4356224060058596,10.349158477783202,16.910525512695312,19.732572937011717,0.05831360220909118,3.2917247772216798
256,38.74415588378906,61.6255859375,51.103274536132815,74.05751342773438,7.049161529541016,10.061837005615235,15.72737274169922,19.096893310546875,7.4670364379882805,10.229849243164063,16.887055969238283,19.63577575683594,0.05793280005455017,3.3415199279785153
384,38.70081176757813,61.384710693359374,51.2093994140625,74.09962768554686,7.006015777587891,10.047411346435545,15.67557373046875,18.911932373046874,7.478556823730469,10.25982437133789,16.771881103515625,19.706256103515624,0.05823040008544922,3.3132606506347653
512,38.6392333984375,61.21988525390625,51.31434936523437,74.00020141601563,6.995823669433594,10.047750091552734,15.625830078125,18.854296875,7.450450897216797,10.202130889892578,16.80318145751953,19.633145141601563,0.05712000131607056,3.7922752380371096
640,38.6818603515625,61.266125488281254,51.297967529296876,74.04701538085938,7.017424011230468,10.184114837646485,15.561654663085937,18.723239135742187,7.449897766113281,10.256588745117186,16.813452148437502,19.810508728027344,0.05736960172653199,10.686054229736328
768,38.583502197265624,61.188751220703125,51.06091613769531,73.95791625976562,6.980233764648437,10.01874237060547,15.834751892089844,18.8689697265625,7.592057800292968,10.234268951416015,16.88579864501953,19.61695098876953,0.05785599946975708,14.329855346679688
896,38.6516357421875,61.167388916015625,51.10783996582032,73.99526367187501,6.9961692810058596,10.038272094726562,17.70606384277344,18.97371826171875,7.4259490966796875,10.228505706787109,17.683474731445312,19.728527832031247,0.058095997571945196,17.675126647949217
1024,38.558309936523436,61.40316162109375,51.13345642089843,73.9232177734375,6.963260650634766,9.987670135498048,20.295213317871095,20.223385620117188,7.452057647705078,10.286601257324218,20.272128295898437,20.225418090820312,0.05823680162429809,20.217666625976562
1152,38.554623413085935,61.42570190429687,51.152322387695314,74.043896484375,7.086300659179687,10.160070037841798,22.724607849121092,22.739721679687502,7.473065948486328,10.22933120727539,22.724220275878906,22.742771911621094,0.057657599449157715,22.728591918945312
1280,38.71279296875,61.328857421875,51.114523315429686,73.9767578125,7.029180908203125,10.108313751220702,25.106629943847654,25.152464294433596,7.424969482421875,10.162889862060547,25.10196838378906,25.158006286621095,0.059920001029968264,25.1488037109375
1408,38.57371215820313,61.369250488281246,51.3182861328125,74.14640502929687,7.029507446289062,9.98955841064453,27.557223510742187,27.58379211425781,7.470899200439453,10.283785247802735,27.551190185546876,27.586068725585935,0.057871997356414795,27.581774902343753
1536,38.515505981445315,61.39500732421875,50.97906799316406,73.5447509765625,6.957794952392578,9.975360107421874,30.02470703125,30.053591918945312,7.429366302490234,10.193065643310547,30.017733764648437,30.05694580078125,0.057296001911163325,30.049075317382812
1664,38.69309387207031,61.298388671875,51.02206726074219,73.4892822265625,7.125389099121094,10.003622436523438,32.43801574707032,32.45608825683593,7.510479736328125,10.200083160400391,32.43609619140625,32.461779785156246,0.057392001152038574,32.46106872558593
1792,38.518377685546874,64.7436279296875,51.05473327636719,73.59406127929688,6.959391784667969,10.070738983154296,34.899557495117186,34.932305908203126,7.400275421142577,10.200640106201172,34.900793457031256,34.93594055175781,0.057657599449157715,34.93702392578125
1920,38.563760375976564,61.203009033203124,51.050115966796874,73.71161499023438,6.978355407714844,10.042384338378906,37.3510009765625,37.37991027832032,7.4007713317871096,10.191641235351563,37.35886840820313,37.377490234374996,0.05828160047531128,37.38380737304688
2048,38.58374633789063,61.1915771484375,51.142462158203124,73.62615966796875,6.960947418212891,10.068386840820313,39.826953125,39.862240600585935,7.495680236816406,10.222268676757812,39.825497436523435,39.87066955566406,0.05716480016708374,39.865936279296875
2176,38.47480773925781,61.269195556640625,51.061553955078125,73.55127563476563,6.942761230468751,9.960857391357422,42.28385620117187,42.32008361816406,7.4468643188476555,10.116473388671874,42.28344116210937,42.30027770996094,0.058032000064849855,42.30075378417969
2304,38.70188293457031,61.10107421875,51.09289855957031,73.59916381835937,6.941302490234374,9.958777618408204,44.702386474609376,44.74557800292968,7.457785797119141,10.152931213378906,44.709799194335936,44.74571228027344,0.057753598690032965,44.74461975097657
2432,38.47337341308594,61.032037353515626,51.04887390136719,73.99944458007812,6.9230400085449215,9.923583984375,47.159088134765625,47.19329223632812,7.482575988769532,10.252835083007813,47.16462097167969,47.199291992187504,0.0559391975402832,47.19782409667968
2560,38.46858520507813,61.11464233398437,51.07568359375,73.87544555664061,6.9416961669921875,10.051232147216796,49.586788940429685,49.63105773925781,7.443001556396485,10.188800048828124,49.581878662109375,49.629022216796876,0.057126402854919434,49.630010986328124
2688,38.46224670410156,61.22947998046875,52.07767333984375,73.71021118164063,6.9800254821777346,9.982575988769533,52.07572631835938,52.09129028320313,7.458700561523438,10.128553771972657,52.04970703125,52.081549072265624,0.05686079859733582,52.087396240234376
2816,38.52120666503906,61.25634765625,54.468780517578125,73.64808959960938,7.010108947753906,10.062131500244142,54.46527099609375,54.50751953125,7.401618957519531,10.18984603881836,54.47216796875,54.498931884765625,0.0568992018699646,54.500823974609375
2944,38.40365295410157,61.071984863281244,56.917608642578124,73.601318359375,6.997325134277344,10.061619567871093,56.92333984375,56.946649169921876,7.502806091308593,10.210620880126953,56.91187133789063,56.940954589843756,0.05752639770507812,56.939630126953126
3072,38.588592529296875,61.13116455078125,59.33569946289063,73.72720947265626,7.02220458984375,10.009580993652344,59.32633666992187,59.3532958984375,7.424412536621094,10.180255889892578,59.332202148437496,59.35943603515625,0.057980799674987794,59.353704833984374
3200,38.44709167480469,61.046191406249996,61.8394287109375,73.43551635742188,6.965657806396484,9.982157135009766,61.832391357421876,61.856597900390625,7.426425933837891,10.414649963378906,61.8323974609375,61.85870361328125,0.05689280033111572,61.85435180664062
