m,default_short_warmup,default_long_warmup,default_short,default_long,python_short_warmup,python_long_warmup,python_short,python_long,noop,kernel
128,100.2144775390625,158.93524169921875,116.03765869140625,176.26901855468748,98.25198364257812,153.45023193359376,113.38671875,172.419189453125,0.058143997192382814,3.928182220458984
256,100.78587036132812,158.23118896484377,114.56766357421876,176.36605224609374,97.86851196289062,153.4266357421875,112.3003173828125,172.10321044921875,0.05716480016708374,3.9176353454589843
384,102.45672607421875,159.47733154296876,117.611181640625,176.94619140625002,98.5088134765625,155.98487548828123,113.5937744140625,173.1428466796875,0.05662400126457214,4.002467346191406
512,101.69504394531249,158.54901123046875,116.36756591796875,178.99862060546874,99.87861938476563,157.74809570312502,114.11461181640625,173.46734619140625,0.05714880228042603,4.002959823608398
640,101.92763061523436,160.78974609374998,117.78992919921875,179.3437744140625,98.55561523437501,155.691748046875,112.40291748046876,173.8256103515625,0.05836160182952881,10.77229461669922
768,100.64008178710937,157.205908203125,118.02864990234376,177.55791015625,98.4009033203125,155.8181884765625,112.726171875,172.86102294921875,0.05695679783821106,14.797004699707031
896,101.408154296875,158.44608154296876,115.114990234375,177.53826904296875,98.25103759765625,154.77919921875,112.4271728515625,170.20537109375,0.056406402587890626,17.695266723632812
1024,100.38413696289062,156.01602783203126,116.5328369140625,175.7498291015625,97.11511840820313,152.70120849609376,113.837890625,170.97142333984374,0.05695679783821106,20.31614074707031
1152,100.54144287109375,157.4302978515625,117.17320556640624,177.63348388671875,97.940478515625,155.50871582031252,112.90845947265625,172.5931640625,0.05660799741744995,22.76387176513672
1280,101.44828491210937,158.305078125,117.13065185546876,174.970361328125,97.6374755859375,153.57904052734375,112.1175537109375,171.410400390625,0.05618879795074463,25.079983520507813
1408,100.94200439453125,157.7650146484375,116.760986328125,174.8760986328125,98.233740234375,155.7427734375,113.0655517578125,172.36644287109377,0.057308799028396605,27.52077941894531
1536,101.88852539062499,158.01008300781248,116.24312744140624,176.7904296875,98.65175170898438,155.23555908203124,112.90175781250001,174.07318115234375,0.058057600259780885,29.9865478515625
1664,101.4688720703125,159.17691650390626,115.39351806640626,179.39488525390627,98.39308471679688,154.27542724609376,113.1968505859375,173.938623046875,0.057558399438858036,32.38378601074219
1792,101.07633666992187,157.7025390625,116.3764404296875,174.74747314453126,97.96515502929687,153.45582275390626,111.85982666015624,170.6447021484375,0.057574397325515746,34.857705688476564
1920,100.427978515625,157.4153076171875,116.73572998046875,176.35906982421875,98.40716552734375,155.16185302734377,112.2407470703125,174.45286865234374,0.057171201705932616,37.28284606933593
2048,101.12241821289062,159.1654541015625,116.48369140625,177.38726806640625,98.28932495117188,156.5106201171875,111.92783203124999,173.962060546875,0.0574400007724762,39.763171386718746
2176,102.47752685546875,157.52525634765624,116.34852294921876,173.10762939453124,98.13882446289062,153.6616455078125,111.87816162109375,170.60474853515626,0.057344001531600956,42.217471313476565
2304,101.15311889648437,157.5766357421875,116.98751220703126,176.386962890625,98.53659057617188,154.7153564453125,111.70541992187499,172.08033447265626,0.057920002937316896,44.678277587890626
2432,101.5221923828125,158.876513671875,118.03974609375,175.73294677734376,97.51431884765626,154.025634765625,112.20822753906249,171.40715332031252,0.05774400234222412,47.07064208984375
2560,101.14168701171874,157.93802490234373,115.36740722656249,175.17282714843748,97.55613403320312,154.64527587890626,112.2903564453125,174.3015869140625,0.059001600742340087,49.52830505371094
2688,101.02427978515625,158.10418701171875,115.73626708984375,176.416357421875,98.262890625,154.779931640625,111.98792724609375,171.77845458984376,0.05737919807434082,52.086456298828125
2816,101.16730346679688,159.211083984375,116.28414306640624,178.77752685546875,98.3422607421875,154.85775146484377,111.9440185546875,172.88785400390626,0.05673599839210511,54.505303955078126
2944,100.06420288085937,157.56800537109376,116.6247314453125,175.51627197265626,98.21624145507812,155.11165771484374,111.730078125,171.67578125,0.05792959928512573,56.94793701171875
3072,100.366357421875,157.56571044921876,115.01492919921876,175.42681884765625,98.06406860351564,154.17374267578123,111.56612548828124,172.56407470703124,0.057753598690032965,59.343505859375
3200,100.92535400390625,157.6271728515625,114.95404052734375,177.2010986328125,98.39365234375,156.80635986328124,112.01986083984374,172.08826904296876,0.05793280005455017,61.85267333984375
3328,101.21323852539064,160.52232666015627,115.01671142578125,176.66298828125,98.79596557617188,155.23551025390626,112.39766845703126,171.5220458984375,0.05704320073127747,64.23825073242188
3456,101.42678833007812,160.07261962890627,114.65911865234375,174.93262939453126,98.09605712890625,156.660693359375,110.95838623046875,171.10465087890626,0.056518399715423585,66.70709228515625
3584,100.31699829101562,157.6396484375,114.62506103515625,176.1248779296875,97.60216674804688,154.66639404296876,111.04625244140625,171.3528076171875,0.05719360113143921,69.16013793945312
3712,100.9891357421875,158.39984130859375,114.25367431640625,173.71463623046876,97.74307861328126,153.95671386718752,110.06666259765625,168.9879150390625,0.05726400017738342,71.64420776367187
3840,100.48757934570312,158.28009033203125,113.8528076171875,173.86424560546877,98.04022827148437,154.79495849609376,110.69827880859374,170.86444091796875,0.05706560015678405,74.03738403320312
3968,101.02793579101562,157.2677734375,114.0296142578125,174.4078857421875,98.03040161132813,154.1436279296875,110.49560546875,169.93648681640624,0.05774400234222412,76.58907470703124
4096,100.56071166992187,157.83122558593752,114.78907470703125,174.76422119140625,97.76972045898437,154.3063232421875,110.48345947265625,169.58543701171874,0.05720000267028808,78.94302368164062
4224,101.13076782226562,158.60845947265625,115.42548828125,176.02947998046875,98.43337402343751,154.679345703125,110.8486083984375,171.27352294921874,0.057327997684478764,81.33527221679687
